name,dateofbirth,timeofbirth,placeofbirth,longitude,latitude,timezone,informationsource,astrosagerating,cloudbtn,name,place,sex,sec,min,hrs,day,month,year,latdeg,longdeg,latmin,longmin,longew,latns,dst,languagecode,ayanamsa,kphn,charting
Amisha Patel,"Monday, June 9, 1975",00:00:00,Mumbai,72 E 52,19 N 4,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Amisha Patel,Mumbai,Female,0,0,0,9,6,1975,19,72,4,52,E,N,0,0,0,0,0
Akshar Patel,"Thursday, January 20, 1994",12:00:00,Anand,72 E 55,22 N 34,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Akshar Patel,Anand,Male,0,0,12,20,1,1994,22,72,34,55,E,N,0,0,0,0,0
Anand Ahuja,"Thursday, July 7, 1983",00:00:00,Delhi,77 E 13,28 N 40,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Anand Ahuja,Delhi,Male,0,0,0,7,7,1983,28,77,40,13,E,N,0,0,0,0,0
Ameet Chana,"Friday, September 12, 1975",12:00:00,Surrey,122 W 49,49 N 6,-8.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ameet Chana,Surrey,Male,0,0,12,12,9,1975,49,122,6,49,W,N,0,0,0,0,0
Alia Bhatt,"Monday, March 15, 1993",04:10:00,London,0 W 7,51 N 30,0.0,Reference,Reference,See kundli in AstroSage Cloud,Alia Bhatt,London,Female,0,10,4,15,3,1993,51,0,30,7,W,N,0,0,0,0,0
Anunay Singh,"Sunday, January 3, 1993",00:00:00,Vaishali,85 E 25,25 N 45,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Anunay Singh,Vaishali,Male,0,0,0,3,1,1993,25,85,45,25,E,N,0,0,0,0,0
Aiden Markram,"Tuesday, October 4, 1994",00:00:00,Centurion,28 E 11,25 S 51,2.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aiden Markram,Centurion,Male,0,0,0,4,10,1994,25,28,51,11,E,S,0,0,0,0,0
Abhinav Sadarangani,"Friday, September 16, 1994",00:00:00,Bengaluru,77 E 35,12 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Abhinav Sadarangani,Bengaluru,Male,0,0,0,16,9,1994,12,77,58,35,E,N,0,0,0,0,0
Ayush Badoni,"Friday, December 3, 1999",00:00:00,Delhi,77 E 13,28 N 40,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ayush Badoni,Delhi,Male,0,0,0,3,12,1999,28,77,40,13,E,N,0,0,0,0,0
Asghar Afghan,"Saturday, December 26, 1987",00:00:00,Kabul,69 E 10,34 N 31,4.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Asghar Afghan,Kabul,Male,0,0,0,26,12,1987,34,69,31,10,E,N,0,0,0,0,0
Arbaz merchant,"Tuesday, May 30, 1995",00:00:00,Bandra,72 E 49,19 N 3,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Arbaz merchant,Bandra,Male,0,0,0,30,5,1995,19,72,3,49,E,N,0,0,0,0,0
Amish Tripathi,"Friday, October 18, 1974",17:51:02,Mumbai,72 E 52,19 N 4,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Amish Tripathi,Mumbai,Male,2,51,17,18,10,1974,19,72,4,52,E,N,0,0,0,0,0
Ashwin Sanghvi,"Saturday, January 25, 1969",00:00:00,Mumbai,72 E 52,19 N 4,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ashwin Sanghvi,Mumbai,Male,0,0,0,25,1,1969,19,72,4,52,E,N,0,0,0,0,0
Akeal Hosein,"Sunday, April 25, 1993",00:00:00,Port of Spain,61 W 30,10 N 39,-4.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Akeal Hosein,Port of Spain,Male,0,0,0,25,4,1993,10,61,39,30,W,N,0,0,0,0,0
Alzarri Joseph,"Wednesday, November 20, 1996",00:00:00,Antigua,14 W 0,28 N 25,0.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Alzarri Joseph,Antigua,Male,0,0,0,20,11,1996,28,14,25,0,W,N,0,0,0,0,0
Aarav Kumar,"Sunday, September 15, 2002",00:00:00,Mumbai,72 E 52,19 N 4,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aarav Kumar,Mumbai,Male,0,0,0,15,9,2002,19,72,4,52,E,N,0,0,0,0,0
AbRam Khan,"Monday, May 27, 2013",00:00:00,Mumbai,72 E 52,19 N 4,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,AbRam Khan,Mumbai,Male,0,0,0,27,5,2013,19,72,4,52,E,N,0,0,0,0,0
Aryan Khan,"Thursday, November 13, 1997",00:00:00,New Delhi,77 E 13,28 N 38,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aryan Khan,New Delhi,Male,0,0,0,13,11,1997,28,77,38,13,E,N,0,0,0,0,0
Alex Carey,"Tuesday, August 27, 1991",12:00:00,loxton,37 E 0,14 N 0,10.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Alex Carey,loxton,Male,0,0,12,27,8,1991,14,37,0,0,E,N,0,0,0,0,0
Abdul Samad,"Sunday, October 28, 2001",12:00:00,Kalakote,81 E 21,25 N 48,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Abdul Samad,Kalakote,Male,0,0,12,28,10,2001,25,81,48,21,E,N,0,0,0,0,0
Akash Singh,"Friday, April 26, 2002",12:00:00,Bharatpur,81 E 50,23 N 42,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Akash Singh,Bharatpur,Male,0,0,12,26,4,2002,23,81,42,50,E,N,0,0,0,0,0
Anuj Rawat,"Sunday, October 17, 1999",12:00:00,Ramnagar,84 E 20,27 N 10,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Anuj Rawat,Ramnagar,Male,0,0,12,17,10,1999,27,84,10,20,E,N,0,0,0,0,0
Arjun Tendulkar,"Friday, September 24, 1999",12:00:00,Mumbai,72 E 50,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Arjun Tendulkar,Mumbai,Male,0,0,12,24,9,1999,18,72,58,50,E,N,0,0,0,0,0
Ajay Bhatt,"Monday, May 1, 1961",12:00:00,Ranikhet,79 E 25,29 N 39,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ajay Bhatt,Ranikhet,Male,0,0,12,1,5,1961,29,79,39,25,E,N,0,0,0,0,0
Amber Rose,"Friday, October 21, 1983",17:30:00,Philadelphia,75 W 9,39 N 57,-5.0,Internet,Reference,See kundli in AstroSage Cloud,Amber Rose,Philadelphia,Female,0,30,17,21,10,1983,39,75,57,9,W,N,0,0,0,0,0
Awez Darbar,"Tuesday, March 16, 1993",12:00:00,Mumbai,72 E 50,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Awez Darbar,Mumbai,Male,0,0,12,16,3,1993,18,72,58,50,E,N,0,0,0,0,0
Aashika Bhatia,"Wednesday, December 15, 1999",12:00:00,Surat,72 E 50,21 N 10,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aashika Bhatia,Surat,Female,0,0,12,15,12,1999,21,72,10,50,E,N,0,0,0,0,0
Avneet Kaur,"Saturday, October 13, 2001",12:00:00,Jalandhar *,75 E 34,31 N 19,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Avneet Kaur,Jalandhar *,Female,0,0,12,13,10,2001,31,75,19,34,E,N,0,0,0,0,0
Arishfa Khan,"Thursday, April 3, 2003",12:00:00,Shahjahanpur,79 E 55,27 N 53,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Arishfa Khan,Shahjahanpur,Female,0,0,12,3,4,2003,27,79,53,55,E,N,0,0,0,0,0
Alexis Arquette,"Monday, July 28, 1969",12:00:00,Los angeles,118 W 15,34 N 0,-5.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Alexis Arquette,Los angeles,Female,0,0,12,28,7,1969,34,118,0,15,W,N,0,0,0,0,0
Amy Acker,"Sunday, December 5, 1976",12:00:00,Dallas,92 W 24,33 N 35,-5.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Amy Acker,Dallas,Female,0,0,12,5,12,1976,33,92,35,24,W,N,0,0,0,0,0
Ashley Argota,"Saturday, January 9, 1993",12:00:00,California,117 W 59,35 N 7,-5.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ashley Argota,California,Female,0,0,12,9,1,1993,35,117,7,59,W,N,0,0,0,0,0
Ana Alicia,"Wednesday, December 12, 1956",12:00:00,Mexico City,99 W 9,19 N 24,-6.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ana Alicia,Mexico City,Female,0,0,12,12,12,1956,19,99,24,9,W,N,0,0,0,0,0
Ashika Ranganath,"Monday, August 5, 1996",12:00:00,Tumkur,77 E 5,13 N 21,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ashika Ranganath,Tumkur,Female,0,0,12,5,8,1996,13,77,21,5,E,N,0,0,0,0,0
Anushree,"Monday, January 25, 1988",12:00:00,Mangalore,74 E 51,12 N 54,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Anushree,Mangalore,Female,0,0,12,25,1,1988,12,74,54,51,E,N,0,0,0,0,0
Arundhati Devi,"Tuesday, April 29, 1924",12:00:00,Barisal,90 E 20,22 N 45,6.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Arundhati Devi,Barisal,Female,0,0,12,29,4,1924,22,90,45,20,E,N,0,0,0,0,0
Anjana Bhowmick,"Saturday, December 30, 1944",12:00:00,Cooch Bihar,89 E 32,26 N 18,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Anjana Bhowmick,Cooch Bihar,Female,0,0,12,30,12,1944,26,89,18,32,E,N,0,0,0,0,0
Aamani,"Friday, November 16, 1973",12:00:00,Bangalore,77 E 35,13 N 0,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aamani,Bangalore,Female,0,0,12,16,11,1973,13,77,0,35,E,N,0,0,0,0,0
Aishwarya Rajesh,"Wednesday, January 10, 1990",12:00:00,Chennai,80 E 18,13 N 5,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aishwarya Rajesh,Chennai,Female,0,0,12,10,1,1990,13,80,5,18,E,N,0,0,0,0,0
Atharvaa Murali,"Sunday, May 7, 1989",12:00:00,Chennai,80 E 18,13 N 5,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Atharvaa Murali,Chennai,Male,0,0,12,7,5,1989,13,80,5,18,E,N,0,0,0,0,0
Aruna Irani,"Sunday, August 18, 1946",11:59:00,Mumbai,72 E 50,18 N 58,5.5,Internet,Reference,See kundli in AstroSage Cloud,Aruna Irani,Mumbai,Female,0,59,11,18,8,1946,18,72,58,50,E,N,0,0,0,0,0
Anjali Devi,"Wednesday, August 24, 1927",12:00:00,Peddapuram,82 E 13,17 N 6,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Anjali Devi,Peddapuram,Female,0,0,12,24,8,1927,17,82,6,13,E,N,0,0,0,0,0
Amyra Dastur,"Friday, May 7, 1993",12:00:00,Mumbai,72 E 50,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Amyra Dastur,Mumbai,Female,0,0,12,7,5,1993,18,72,58,50,E,N,0,0,0,0,0
Amy Jackson,"Friday, January 31, 1992",12:00:00,Isle of Man,4 W 30,54 N 15,0.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Amy Jackson,Isle of Man,Female,0,0,12,31,1,1992,54,4,15,30,W,N,0,0,0,0,0
Anaitha Nair,"Thursday, July 19, 1984",12:00:00,Bangalore,77 E 35,13 N 0,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Anaitha Nair,Bangalore,Female,0,0,12,19,7,1984,13,77,0,35,E,N,0,0,0,0,0
Aulii Cravalho,"Wednesday, November 22, 2000",12:00:00,Hawaii,155 W 15,19 N 26,-5.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aulii Cravalho,Hawaii,Female,0,0,12,22,11,2000,19,155,26,15,W,N,0,0,0,0,0
Ahan Shetty,"Monday, January 15, 1996",12:00:00,Mumbai,72 E 50,18 N 58,5.5, Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ahan Shetty,Mumbai,Male,0,0,12,15,1,1996,18,72,58,50,E,N,0,0,0,0,0
Anoop Kumar,"Saturday, January 9, 1926",12:00:00,Khandwa,76 E 23,21 N 49,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Anoop Kumar,Khandwa,Male,0,0,12,9,1,1926,21,76,49,23,E,N,0,0,0,0,0
